0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
1 3 5
1 4 5
1 5 5
1 6 5
1 7 5
2 3 5
2 4 5
2 5 5
2 6 5
2 7 5
3 1 2
3 2 3
3 8 5
3 9 5
4 1 2
4 2 3
5 1 2
5 2 3
5 8 5
5 9 5
6 1 2
6 2 3
7 1 2
7 2 3
8 3 2
8 5 3
9 3 2
9 5 3
10 3 2
10 6 3
11 3 2
11 5 3
12 4 2
12 6 3
13 4 2
13 6 3
14 4 2
14 6 3
15 4 2
15 6 3
16 8 2
16 10 3
17 4 2
17 6 3
18 8 2
18 10 3
19 8 2
19 10 3
20 8 2
20 10 3
21 3 2
21 5 3
22 11 2
22 12 3
23 11 2
23 12 3
24 11 2
24 12 3
25 11 2
25 12 3
26 13 2
26 14 3
27 13 2
27 14 3
28 13 2
28 14 3
29 13 2
29 14 3
30 11 2
30 12 3
31 13 2
31 14 3
32 13 2
32 14 3
33 15 3
33 17 2
34 15 3
34 31 2
35 16 3
35 18 2
36 16 3
36 32 2
